SCHED_DT,SCHED_HR,CUST_PART_NO,WIP_QTY,QTY
18-Sep-17,8,39101-03201,24,15
18-Sep-17,8,39102-04457,0,0
18-Sep-17,8,39102-04462,0,0
18-Sep-17,8,39102-04466,0,0
18-Sep-17,8,39102-04536,18,28
18-Sep-17,8,39103-03201,81,332
18-Sep-17,8,39103-03203,0,0
18-Sep-17,8,39103-03205,0,0
18-Sep-17,8,39103-03207,0,0
18-Sep-17,8,39103-03208,0,0
18-Sep-17,8,39103-03210,0,0
18-Sep-17,8,39103-03211,3,4
18-Sep-17,8,39103-03212,0,1
18-Sep-17,8,39103-03214,0,0
18-Sep-17,8,39103-03215,0,1
18-Sep-17,8,39103-03216,0,0
18-Sep-17,8,39103-03237,21,44
18-Sep-17,8,39103-03243,0,15
18-Sep-17,8,39103-03244,0,0
18-Sep-17,8,39103-03247,30,4
18-Sep-17,8,39103-03248,0,1
18-Sep-17,8,39103-03250,0,0
18-Sep-17,8,39103-03251,0,0
18-Sep-17,8,39103-03252,0,0
18-Sep-17,8,39103-03274,0,2
19-Sep-17,8,39101-03201,24,43
19-Sep-17,8,39102-04457,0,0
19-Sep-17,8,39102-04462,0,0
19-Sep-17,8,39102-04466,0,0
19-Sep-17,8,39102-04536,18,0
19-Sep-17,8,39103-03201,81,287
19-Sep-17,8,39103-03203,0,0
19-Sep-17,8,39103-03205,0,0
19-Sep-17,8,39103-03207,0,0
19-Sep-17,8,39103-03208,0,0
19-Sep-17,8,39103-03210,0,0
19-Sep-17,8,39103-03211,3,0
19-Sep-17,8,39103-03212,0,0
19-Sep-17,8,39103-03214,0,0
19-Sep-17,8,39103-03215,0,150
19-Sep-17,8,39103-03216,0,0
19-Sep-17,8,39103-03237,21,97
19-Sep-17,8,39103-03243,0,32
19-Sep-17,8,39103-03244,0,0
19-Sep-17,8,39103-03247,30,0
19-Sep-17,8,39103-03248,0,0
19-Sep-17,8,39103-03250,0,0
19-Sep-17,8,39103-03251,0,0
19-Sep-17,8,39103-03252,0,0
19-Sep-17,8,39103-03274,0,0
20-Sep-17,8,39101-03201,24,95
20-Sep-17,8,39102-04457,0,0
20-Sep-17,8,39102-04462,0,0
20-Sep-17,8,39102-04466,0,0
20-Sep-17,8,39102-04536,18,0
20-Sep-17,8,39103-03201,81,42
20-Sep-17,8,39103-03203,0,0
20-Sep-17,8,39103-03205,0,7
20-Sep-17,8,39103-03207,0,34
20-Sep-17,8,39103-03208,0,0
20-Sep-17,8,39103-03210,0,0
20-Sep-17,8,39103-03211,3,0
20-Sep-17,8,39103-03212,0,10
20-Sep-17,8,39103-03214,0,0
20-Sep-17,8,39103-03215,0,156
20-Sep-17,8,39103-03216,0,0
20-Sep-17,8,39103-03237,21,111
20-Sep-17,8,39103-03243,0,21
20-Sep-17,8,39103-03244,0,0
20-Sep-17,8,39103-03247,30,0
20-Sep-17,8,39103-03248,0,0
20-Sep-17,8,39103-03250,0,0
20-Sep-17,8,39103-03251,0,10
20-Sep-17,8,39103-03252,0,0
20-Sep-17,8,39103-03274,0,0
